date,location1,location2,location3,location4,location5,location6,location7,location8,location9,location10,location11,location12,location13,location14,location15,location16,location17,location18,location19,location20,location21,location22,location23,location24
2/12/2000,1.25,0.66,0.05,1.03,1.31,0.78,0.39,0.45,0.32,0.27,1.85,0.94,1.98,0.83,1.03,0.75,0.83,1.58,1.48,0.05,0.36,0.64,1.13,0.07
2/13/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2000,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
2/19/2000,0.01,0.04,0,0.19,0.05,0.1,0.04,0.01,0.02,0.02,0.21,0.08,0.01,0.09,0.09,0.08,0.17,0.19,0.2,0,0.03,0.1,0.18,0.01
2/20/2000,0.25,0.38,0.28,0.97,0.35,0.49,0.4,0.27,0.44,0.44,0.86,0.65,0.22,0.56,0.61,0.66,0.64,0.77,0.93,0.29,0.43,0.52,0.69,0.28
2/21/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2000,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0
2/24/2000,0,0,0,0.03,0,0,0,0,0,0,0.03,0.01,0,0.01,0.01,0.01,0,0.02,0.03,0,0,0,0.01,0
2/25/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2000,0,0.01,0,0.08,0.01,0.03,0.01,0,0,0,0.07,0.02,0,0.03,0.03,0.02,0.06,0.07,0.08,0,0.01,0.03,0.07,0
3/8/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13/2000,0,0,0.03,0.02,0,0,0,0,0.01,0.04,0,0.01,0,0,0,0.03,0,0,0,0.01,0,0,0,0
3/14/2000,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
3/15/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/2000,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0
3/17/2000,0,0,0.02,1.85,0,0,0,0,0.09,0.15,0.3,0.41,0,0.01,0.07,0.66,0,0.07,1.18,0.01,0.01,0,0.01,0
3/18/2000,0,0.01,0.02,0.14,0,0.01,0.04,0.01,0.06,0.05,0.4,0.14,0,0.11,0.22,0.07,0.03,0.22,0.29,0.02,0.08,0.04,0.1,0.02
3/19/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2000,0.05,0.08,0,0,0.16,0.18,0.03,0.02,0,0,0,0,0.09,0.03,0,0,0.13,0.02,0,0,0,0.09,0.06,0
3/21/2000,0,0,0.03,0.04,0,0.01,0,0,0.01,0.03,0.01,0.01,0.01,0,0,0.03,0.04,0.01,0.02,0.01,0,0,0.02,0
3/22/2000,0,0,0.17,1.05,0,0,0.01,0,0.18,0.32,0.47,0.38,0,0.03,0.12,0.58,0,0.14,0.85,0.1,0.03,0,0.02,0.01
3/23/2000,10.63,8.02,0.18,0.22,11.73,6.38,4.35,5.24,0.71,0.17,1.41,0.66,16.3,2.87,1.58,0.18,2.72,1.88,0.66,0.67,1.85,4.64,2.27,1.84
3/24/2000,0.01,0.01,0.84,0.45,0,0,0.04,0.06,0.42,0.73,0.06,0.31,0,0.03,0.09,0.58,0,0.02,0.23,0.52,0.13,0,0,0.17
3/25/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/2000,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
3/29/2000,0,0.01,0,0.05,0.02,0.09,0,0,0,0,0.04,0.01,0,0.03,0.01,0.01,0.29,0.1,0.04,0,0,0.06,0.2,0
3/30/2000,0,0.01,0,0,0.01,0.03,0,0,0,0,0.01,0,0,0.01,0,0,0.08,0.03,0,0,0,0.02,0.05,0
3/31/2000,0,0,0,0.55,0,0,0,0,0.02,0.03,0.14,0.09,0,0.01,0.02,0.14,0,0.04,0.38,0,0,0,0.01,0
4/1/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/2000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
4/6/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/10/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/11/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2000,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
4/14/2000,0,0,0.23,0.75,0,0.02,0,0.01,0.05,0.09,0.21,0.09,0,0.01,0.03,0.14,0.1,0.09,0.53,0.12,0.01,0.01,0.08,0.03
4/15/2000,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01
4/16/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/17/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/18/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/2000,0,0,0,0.05,0,0,0.01,0,0.02,0.02,0.08,0.05,0,0.03,0.05,0.05,0,0.04,0.07,0,0.02,0.01,0.01,0
4/20/2000,0,0,0,0.17,0,0,0,0,0.01,0.01,0.03,0.04,0,0,0.01,0.06,0,0.01,0.11,0,0,0,0,0
4/21/2000,0,0,0.05,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0
4/22/2000,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
4/23/2000,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
4/24/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/25/2000,0,0,0,0.15,0,0,0,0,0,0,0.08,0.04,0,0.02,0.02,0.05,0.04,0.08,0.13,0,0,0.01,0.06,0
4/26/2000,0.01,0.02,0.01,0.4,0.01,0.02,0.05,0.01,0.07,0.07,0.4,0.21,0,0.14,0.21,0.2,0.02,0.25,0.41,0.01,0.08,0.06,0.1,0.02
4/27/2000,0,0,0,0.07,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0
4/28/2000,0,0.01,0.13,0.39,0,0,0.02,0.01,0.09,0.14,0.21,0.21,0,0.06,0.13,0.26,0,0.09,0.33,0.07,0.05,0.02,0.03,0.02
4/29/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/3/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/2000,0,0.03,0,1.05,0,0.03,0.08,0,0.08,0.05,2.55,0.54,0,0.68,0.92,0.32,0.41,2.07,1.69,0,0.15,0.27,1.11,0
